state,year,month,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,Coal,Solar,Total Generation,Wind
Goa,2024,1,30.471290322580646,24.123548387096776,62.10967741935483,7.55,0.0,46.145,5.44,0.0
Goa,2024,2,32.20379310344828,24.85896551724138,57.19586206896552,0.0,0.0,46.145,5.44,0.0
Goa,2024,3,32.59451612903226,25.66774193548387,61.88935483870968,0.19,0.0,46.145,5.44,0.0
Goa,2024,4,33.538666666666664,27.644333333333336,66.836,69.1,0.0,46.145,5.44,0.0
Goa,2024,5,32.90838709677419,28.25483870967742,72.9674193548387,70.66,0.0,46.145,5.44,0.0
Goa,2024,6,29.55133333333333,27.494333333333334,82.75133333333333,677.88,0.0,46.145,5.44,0.0
Goa,2024,7,28.013548387096773,26.66741935483871,89.93225806451613,1560.14,0.0,46.145,5.44,0.0
Goa,2024,8,28.286774193548386,26.36354838709677,89.00225806451614,624.68,0.0,46.145,5.44,0.0
Goa,2024,9,28.456333333333337,26.305666666666664,85.244,299.29,0.0,46.145,5.44,0.0
Goa,2024,10,29.61290322580645,26.27741935483871,83.00935483870968,492.14,0.0,46.145,5.44,0.0
Goa,2024,11,30.040333333333333,23.876666666666665,74.77199999999999,22.8,0.0,46.145,5.44,0.0
Goa,2024,12,29.78548387096774,24.19193548387097,74.33161290322582,9.92,0.0,46.145,5.44,0.0
Goa,2025,1,31.43,22.41,67.66,0.0,0.0,46.145,5.44,0.0
Gujarat,2024,1,29.306774193548385,12.725161290322582,41.08451612903225,0.4,3752.81,618.4,11592.54,733.9499999999999
Gujarat,2024,2,33.215862068965514,15.771379310344829,29.47068965517241,0.0,3320.965,610.5,11107.38,880.69
Gujarat,2024,3,37.13,18.725806451612904,24.720967741935485,3.2,3384.545,772.865,11901.77,901.985
Gujarat,2024,4,40.64566666666666,24.813333333333333,26.758666666666667,0.02,4100.245,792.715,14269.61,972.95
Gujarat,2024,5,44.27903225806452,28.531935483870967,30.427096774193547,6.2,4206.67,881.82,16290.2,1530.42
Gujarat,2024,6,40.60333333333333,29.47433333333333,48.95166666666667,93.55,4172.68,740.035,15709.42,1395.555
Gujarat,2024,7,34.87419354838709,27.017419354838708,76.47096774193548,227.47,3675.375,597.265,13153.7,1449.96
Gujarat,2024,8,32.03709677419355,25.427419354838708,84.18516129032257,432.32,3098.795,622.185,13558.33,1590.61
Gujarat,2024,9,30.89,24.377,87.36166666666666,214.76,2420.57,752.2900000000001,10911.61,781.37
Gujarat,2024,10,31.195483870967745,22.48354838709677,80.76032258064517,20.36,3813.135,813.625,12406.08,442.495
Gujarat,2024,11,29.252333333333336,15.959333333333335,64.58533333333334,0.0,3282.385,824.26,10124.85,432.69
Gujarat,2024,12,27.003870967741936,10.86451612903226,58.07935483870968,0.18,3411.865,730.185,12587.71,1303.96
Gujarat,2025,1,29.09,11.7,55.29,0.0,3567.575,918.695,12483.88,992.4
Haryana,2024,1,20.651612903225807,8.215806451612902,49.37548387096775,1.92,1409.92,50.135000000000005,2871.45,0.0
Haryana,2024,2,22.349655172413797,9.49103448275862,47.306896551724144,44.5,1032.965,50.735,2119.35,0.0
Haryana,2024,3,28.767419354838708,14.60516129032258,43.75322580645161,61.68,1006.725,51.09,2077.69,0.0
Haryana,2024,4,34.92966666666667,20.244333333333334,33.72233333333333,20.61,1372.955,61.595,2829.09,0.0
Haryana,2024,5,41.61451612903225,26.20741935483871,22.43032258064516,8.0,1388.63,61.495000000000005,2966.21,0.0
Haryana,2024,6,42.634,29.608,29.497333333333334,59.85,1471.87,61.385000000000005,3139.36,0.0
Haryana,2024,7,35.344193548387096,26.86258064516129,71.79838709677419,318.63,1570.725,61.335,3222.77,0.0
Haryana,2024,8,30.81451612903226,25.351935483870967,86.14258064516129,401.39,1438.48,61.5,2958.76,0.0
Haryana,2024,9,30.751666666666665,23.884666666666664,83.69866666666667,223.22,1358.965,66.625,2803.67,0.0
